# Hosts Start 
# No resolution for kamaihd.net kamaihd.net
23.50.36.90                    steamgames.com
# No resolution for db5sch101100835.wns.windows.com db5sch101100835.wns.windows.com
# No resolution for db5sch101100917.wns.windows.com db5sch101100917.wns.windows.com
# No resolution for db5sch101100925.wns.windows.com db5sch101100925.wns.windows.com
# No resolution for db5sch101100928.wns.windows.com db5sch101100928.wns.windows.com
# No resolution for db5sch101100938.wns.windows.com db5sch101100938.wns.windows.com
# No resolution for db5sch101101001.wns.windows.com db5sch101101001.wns.windows.com
# No resolution for db5sch101101022.wns.windows.com db5sch101101022.wns.windows.com
# No resolution for db5sch101101024.wns.windows.com db5sch101101024.wns.windows.com
# No resolution for db5sch101101031.wns.windows.com db5sch101101031.wns.windows.com
# No resolution for db5sch101101034.wns.windows.com db5sch101101034.wns.windows.com
# No resolution for db5sch101101042.wns.windows.com db5sch101101042.wns.windows.com
# No resolution for db5sch101101044.wns.windows.com db5sch101101044.wns.windows.com
# No resolution for db5sch101101122.wns.windows.com db5sch101101122.wns.windows.com
# No resolution for db5sch101101123.wns.windows.com db5sch101101123.wns.windows.com
# No resolution for db5sch101101125.wns.windows.com db5sch101101125.wns.windows.com
# No resolution for db5sch101101128.wns.windows.com db5sch101101128.wns.windows.com
# No resolution for db5sch101101129.wns.windows.com db5sch101101129.wns.windows.com
# No resolution for db5sch101101133.wns.windows.com db5sch101101133.wns.windows.com
# No resolution for db5sch101101145.wns.windows.com db5sch101101145.wns.windows.com
# No resolution for db5sch101101209.wns.windows.com db5sch101101209.wns.windows.com
# No resolution for db5sch101101221.wns.windows.com db5sch101101221.wns.windows.com
# No resolution for db5sch101101228.wns.windows.com db5sch101101228.wns.windows.com
# No resolution for db5sch101101231.wns.windows.com db5sch101101231.wns.windows.com
# No resolution for db5sch101101237.wns.windows.com db5sch101101237.wns.windows.com
# No resolution for db5sch101101317.wns.windows.com db5sch101101317.wns.windows.com
# No resolution for db5sch101101324.wns.windows.com db5sch101101324.wns.windows.com
# No resolution for db5sch101101329.wns.windows.com db5sch101101329.wns.windows.com
# No resolution for db5sch101101333.wns.windows.com db5sch101101333.wns.windows.com
# No resolution for db5sch101101334.wns.windows.com db5sch101101334.wns.windows.com
# No resolution for db5sch101101338.wns.windows.com db5sch101101338.wns.windows.com
# No resolution for db5sch101101419.wns.windows.com db5sch101101419.wns.windows.com
# No resolution for db5sch101101424.wns.windows.com db5sch101101424.wns.windows.com
# No resolution for db5sch101101426.wns.windows.com db5sch101101426.wns.windows.com
# No resolution for db5sch101101427.wns.windows.com db5sch101101427.wns.windows.com
# No resolution for db5sch101101430.wns.windows.com db5sch101101430.wns.windows.com
# No resolution for db5sch101101445.wns.windows.com db5sch101101445.wns.windows.com
# No resolution for db5sch101101511.wns.windows.com db5sch101101511.wns.windows.com
# No resolution for db5sch101101519.wns.windows.com db5sch101101519.wns.windows.com
# No resolution for db5sch101101529.wns.windows.com db5sch101101529.wns.windows.com
# No resolution for db5sch101101535.wns.windows.com db5sch101101535.wns.windows.com
# No resolution for db5sch101101541.wns.windows.com db5sch101101541.wns.windows.com
# No resolution for db5sch101101543.wns.windows.com db5sch101101543.wns.windows.com
# No resolution for db5sch101101608.wns.windows.com db5sch101101608.wns.windows.com
# No resolution for db5sch101101618.wns.windows.com db5sch101101618.wns.windows.com
# No resolution for db5sch101101629.wns.windows.com db5sch101101629.wns.windows.com
# No resolution for db5sch101101631.wns.windows.com db5sch101101631.wns.windows.com
# No resolution for db5sch101101633.wns.windows.com db5sch101101633.wns.windows.com
# No resolution for db5sch101101640.wns.windows.com db5sch101101640.wns.windows.com
# No resolution for db5sch101101711.wns.windows.com db5sch101101711.wns.windows.com
# No resolution for db5sch101101722.wns.windows.com db5sch101101722.wns.windows.com
# No resolution for db5sch101101739.wns.windows.com db5sch101101739.wns.windows.com
# No resolution for db5sch101101745.wns.windows.com db5sch101101745.wns.windows.com
# No resolution for db5sch101101813.wns.windows.com db5sch101101813.wns.windows.com
# No resolution for db5sch101101820.wns.windows.com db5sch101101820.wns.windows.com
# No resolution for db5sch101101826.wns.windows.com db5sch101101826.wns.windows.com
# No resolution for db5sch101101835.wns.windows.com db5sch101101835.wns.windows.com
# No resolution for db5sch101101837.wns.windows.com db5sch101101837.wns.windows.com
# No resolution for db5sch101101844.wns.windows.com db5sch101101844.wns.windows.com
# No resolution for db5sch101101907.wns.windows.com db5sch101101907.wns.windows.com
# No resolution for db5sch101101914.wns.windows.com db5sch101101914.wns.windows.com
# No resolution for db5sch101101929.wns.windows.com db5sch101101929.wns.windows.com
# No resolution for db5sch101101939.wns.windows.com db5sch101101939.wns.windows.com
# No resolution for db5sch101101941.wns.windows.com db5sch101101941.wns.windows.com
# No resolution for db5sch101102015.wns.windows.com db5sch101102015.wns.windows.com
# No resolution for db5sch101102017.wns.windows.com db5sch101102017.wns.windows.com
# No resolution for db5sch101102019.wns.windows.com db5sch101102019.wns.windows.com
# No resolution for db5sch101102023.wns.windows.com db5sch101102023.wns.windows.com
# No resolution for db5sch101102025.wns.windows.com db5sch101102025.wns.windows.com
# No resolution for db5sch101102032.wns.windows.com db5sch101102032.wns.windows.com
# No resolution for db5sch101102033.wns.windows.com db5sch101102033.wns.windows.com
# No resolution for db5sch101110108.wns.windows.com db5sch101110108.wns.windows.com
# No resolution for db5sch101110109.wns.windows.com db5sch101110109.wns.windows.com
# No resolution for db5sch101110114.wns.windows.com db5sch101110114.wns.windows.com
# No resolution for db5sch101110135.wns.windows.com db5sch101110135.wns.windows.com
# No resolution for db5sch101110142.wns.windows.com db5sch101110142.wns.windows.com
# No resolution for db5sch101110204.wns.windows.com db5sch101110204.wns.windows.com
# No resolution for db5sch101110206.wns.windows.com db5sch101110206.wns.windows.com
# No resolution for db5sch101110214.wns.windows.com db5sch101110214.wns.windows.com
# No resolution for db5sch101110225.wns.windows.com db5sch101110225.wns.windows.com
# No resolution for db5sch101110232.wns.windows.com db5sch101110232.wns.windows.com
# No resolution for db5sch101110245.wns.windows.com db5sch101110245.wns.windows.com
# No resolution for db5sch101110315.wns.windows.com db5sch101110315.wns.windows.com
# No resolution for db5sch101110323.wns.windows.com db5sch101110323.wns.windows.com
# No resolution for db5sch101110325.wns.windows.com db5sch101110325.wns.windows.com
# No resolution for db5sch101110328.wns.windows.com db5sch101110328.wns.windows.com
# No resolution for db5sch101110331.wns.windows.com db5sch101110331.wns.windows.com
# No resolution for db5sch101110341.wns.windows.com db5sch101110341.wns.windows.com
# No resolution for db5sch101110343.wns.windows.com db5sch101110343.wns.windows.com
# No resolution for db5sch101110345.wns.windows.com db5sch101110345.wns.windows.com
# No resolution for db5sch101110403.wns.windows.com db5sch101110403.wns.windows.com
# No resolution for db5sch101110419.wns.windows.com db5sch101110419.wns.windows.com
# No resolution for db5sch101110438.wns.windows.com db5sch101110438.wns.windows.com
# No resolution for db5sch101110442.wns.windows.com db5sch101110442.wns.windows.com
# No resolution for db5sch101110501.wns.windows.com db5sch101110501.wns.windows.com
# No resolution for db5sch101110527.wns.windows.com db5sch101110527.wns.windows.com
# No resolution for db5sch101110533.wns.windows.com db5sch101110533.wns.windows.com
# No resolution for db5sch101110618.wns.windows.com db5sch101110618.wns.windows.com
# No resolution for db5sch101110622.wns.windows.com db5sch101110622.wns.windows.com
# No resolution for db5sch101110624.wns.windows.com db5sch101110624.wns.windows.com
# No resolution for db5sch101110626.wns.windows.com db5sch101110626.wns.windows.com
# No resolution for db5sch101110634.wns.windows.com db5sch101110634.wns.windows.com
# No resolution for db5sch101110705.wns.windows.com db5sch101110705.wns.windows.com
# No resolution for db5sch101110724.wns.windows.com db5sch101110724.wns.windows.com
# No resolution for db5sch101110740.wns.windows.com db5sch101110740.wns.windows.com
# No resolution for db5sch101110810.wns.windows.com db5sch101110810.wns.windows.com
# No resolution for db5sch101110816.wns.windows.com db5sch101110816.wns.windows.com
# No resolution for db5sch101110821.wns.windows.com db5sch101110821.wns.windows.com
# No resolution for db5sch101110822.wns.windows.com db5sch101110822.wns.windows.com
# No resolution for db5sch101110825.wns.windows.com db5sch101110825.wns.windows.com
# No resolution for db5sch101110828.wns.windows.com db5sch101110828.wns.windows.com
# No resolution for db5sch101110835.wns.windows.com db5sch101110835.wns.windows.com
# No resolution for db5sch101110919.wns.windows.com db5sch101110919.wns.windows.com
# No resolution for db5sch101110921.wns.windows.com db5sch101110921.wns.windows.com
# No resolution for db5sch101110923.wns.windows.com db5sch101110923.wns.windows.com
# No resolution for db5sch101110929.wns.windows.com db5sch101110929.wns.windows.com
# No resolution for db5sch103081814.wns.windows.com db5sch103081814.wns.windows.com
# No resolution for db5sch103082011.wns.windows.com db5sch103082011.wns.windows.com
# No resolution for db5sch103082111.wns.windows.com db5sch103082111.wns.windows.com
# No resolution for db5sch103082308.wns.windows.com db5sch103082308.wns.windows.com
# No resolution for db5sch103082406.wns.windows.com db5sch103082406.wns.windows.com
# No resolution for db5sch103082409.wns.windows.com db5sch103082409.wns.windows.com
# No resolution for db5sch103082609.wns.windows.com db5sch103082609.wns.windows.com
# No resolution for db5sch103082611.wns.windows.com db5sch103082611.wns.windows.com
# No resolution for db5sch103082709.wns.windows.com db5sch103082709.wns.windows.com
# No resolution for db5sch103082712.wns.windows.com db5sch103082712.wns.windows.com
# No resolution for db5sch103082806.wns.windows.com db5sch103082806.wns.windows.com
# No resolution for db5sch103090115.wns.windows.com db5sch103090115.wns.windows.com
# No resolution for db5sch103090415.wns.windows.com db5sch103090415.wns.windows.com
# No resolution for db5sch103090513.wns.windows.com db5sch103090513.wns.windows.com
# No resolution for db5sch103090515.wns.windows.com db5sch103090515.wns.windows.com
# No resolution for db5sch103090608.wns.windows.com db5sch103090608.wns.windows.com
# No resolution for db5sch103090806.wns.windows.com db5sch103090806.wns.windows.com
# No resolution for db5sch103090814.wns.windows.com db5sch103090814.wns.windows.com
# No resolution for db5sch103090906.wns.windows.com db5sch103090906.wns.windows.com
# No resolution for db5sch103091011.wns.windows.com db5sch103091011.wns.windows.com
# No resolution for db5sch103091012.wns.windows.com db5sch103091012.wns.windows.com
# No resolution for db5sch103091106.wns.windows.com db5sch103091106.wns.windows.com
# No resolution for db5sch103091108.wns.windows.com db5sch103091108.wns.windows.com
# No resolution for db5sch103091212.wns.windows.com db5sch103091212.wns.windows.com
# No resolution for db5sch103091311.wns.windows.com db5sch103091311.wns.windows.com
# No resolution for db5sch103091414.wns.windows.com db5sch103091414.wns.windows.com
# No resolution for db5sch103091511.wns.windows.com db5sch103091511.wns.windows.com
# No resolution for db5sch103091617.wns.windows.com db5sch103091617.wns.windows.com
# No resolution for db5sch103091715.wns.windows.com db5sch103091715.wns.windows.com
# No resolution for db5sch103091817.wns.windows.com db5sch103091817.wns.windows.com
# No resolution for db5sch103091908.wns.windows.com db5sch103091908.wns.windows.com
# No resolution for db5sch103091911.wns.windows.com db5sch103091911.wns.windows.com
# No resolution for db5sch103092010.wns.windows.com db5sch103092010.wns.windows.com
# No resolution for db5sch103092108.wns.windows.com db5sch103092108.wns.windows.com
# No resolution for db5sch103092109.wns.windows.com db5sch103092109.wns.windows.com
# No resolution for db5sch103092209.wns.windows.com db5sch103092209.wns.windows.com
# No resolution for db5sch103092210.wns.windows.com db5sch103092210.wns.windows.com
# No resolution for db5sch103092509.wns.windows.com db5sch103092509.wns.windows.com
# No resolution for db5sch103100117.wns.windows.com db5sch103100117.wns.windows.com
# No resolution for db5sch103100121.wns.windows.com db5sch103100121.wns.windows.com
# No resolution for db5sch103100221.wns.windows.com db5sch103100221.wns.windows.com
# No resolution for db5sch103100313.wns.windows.com db5sch103100313.wns.windows.com
# No resolution for db5sch103100314.wns.windows.com db5sch103100314.wns.windows.com
# No resolution for db5sch103100510.wns.windows.com db5sch103100510.wns.windows.com
# No resolution for db5sch103100511.wns.windows.com db5sch103100511.wns.windows.com
# No resolution for db5sch103100611.wns.windows.com db5sch103100611.wns.windows.com
# No resolution for db5sch103100712.wns.windows.com db5sch103100712.wns.windows.com
# No resolution for db5sch103101105.wns.windows.com db5sch103101105.wns.windows.com
# No resolution for db5sch103101208.wns.windows.com db5sch103101208.wns.windows.com
# No resolution for db5sch103101212.wns.windows.com db5sch103101212.wns.windows.com
# No resolution for db5sch103101314.wns.windows.com db5sch103101314.wns.windows.com
# No resolution for db5sch103101411.wns.windows.com db5sch103101411.wns.windows.com
# No resolution for db5sch103101413.wns.windows.com db5sch103101413.wns.windows.com
# No resolution for db5sch103101513.wns.windows.com db5sch103101513.wns.windows.com
# No resolution for db5sch103101610.wns.windows.com db5sch103101610.wns.windows.com
# No resolution for db5sch103101611.wns.windows.com db5sch103101611.wns.windows.com
# No resolution for db5sch103101705.wns.windows.com db5sch103101705.wns.windows.com
# No resolution for db5sch103101711.wns.windows.com db5sch103101711.wns.windows.com
# No resolution for db5sch103101909.wns.windows.com db5sch103101909.wns.windows.com
# No resolution for db5sch103101914.wns.windows.com db5sch103101914.wns.windows.com
# No resolution for db5sch103102009.wns.windows.com db5sch103102009.wns.windows.com
# No resolution for db5sch103102112.wns.windows.com db5sch103102112.wns.windows.com
# No resolution for db5sch103102203.wns.windows.com db5sch103102203.wns.windows.com
# No resolution for db5sch103102209.wns.windows.com db5sch103102209.wns.windows.com
# No resolution for db5sch103102310.wns.windows.com db5sch103102310.wns.windows.com
# No resolution for db5sch103102404.wns.windows.com db5sch103102404.wns.windows.com
# No resolution for db5sch103102609.wns.windows.com db5sch103102609.wns.windows.com
# No resolution for db5sch103102610.wns.windows.com db5sch103102610.wns.windows.com
# No resolution for db5sch103102805.wns.windows.com db5sch103102805.wns.windows.com
# No resolution for db5wns1d.wns.windows.com db5wns1d.wns.windows.com
# No resolution for db6sch102090104.wns.windows.com db6sch102090104.wns.windows.com
# No resolution for db6sch102090112.wns.windows.com db6sch102090112.wns.windows.com
# No resolution for db6sch102090116.wns.windows.com db6sch102090116.wns.windows.com
# No resolution for db6sch102090122.wns.windows.com db6sch102090122.wns.windows.com
# No resolution for db6sch102090203.wns.windows.com db6sch102090203.wns.windows.com
# No resolution for db6sch102090206.wns.windows.com db6sch102090206.wns.windows.com
# No resolution for db6sch102090208.wns.windows.com db6sch102090208.wns.windows.com
# No resolution for db6sch102090209.wns.windows.com db6sch102090209.wns.windows.com
# No resolution for db6sch102090211.wns.windows.com db6sch102090211.wns.windows.com
# No resolution for db6sch102090305.wns.windows.com db6sch102090305.wns.windows.com
# No resolution for db6sch102090306.wns.windows.com db6sch102090306.wns.windows.com
# No resolution for db6sch102090308.wns.windows.com db6sch102090308.wns.windows.com
# No resolution for db6sch102090311.wns.windows.com db6sch102090311.wns.windows.com
# No resolution for db6sch102090313.wns.windows.com db6sch102090313.wns.windows.com
# No resolution for db6sch102090410.wns.windows.com db6sch102090410.wns.windows.com
# No resolution for db6sch102090412.wns.windows.com db6sch102090412.wns.windows.com
# No resolution for db6sch102090504.wns.windows.com db6sch102090504.wns.windows.com
# No resolution for db6sch102090510.wns.windows.com db6sch102090510.wns.windows.com
# No resolution for db6sch102090512.wns.windows.com db6sch102090512.wns.windows.com
# No resolution for db6sch102090513.wns.windows.com db6sch102090513.wns.windows.com
# No resolution for db6sch102090514.wns.windows.com db6sch102090514.wns.windows.com
# No resolution for db6sch102090519.wns.windows.com db6sch102090519.wns.windows.com
# No resolution for db6sch102090613.wns.windows.com db6sch102090613.wns.windows.com
# No resolution for db6sch102090619.wns.windows.com db6sch102090619.wns.windows.com
# No resolution for db6sch102090810.wns.windows.com db6sch102090810.wns.windows.com
# No resolution for db6sch102090811.wns.windows.com db6sch102090811.wns.windows.com
# No resolution for db6sch102090902.wns.windows.com db6sch102090902.wns.windows.com
# No resolution for db6sch102090905.wns.windows.com db6sch102090905.wns.windows.com
# No resolution for db6sch102090907.wns.windows.com db6sch102090907.wns.windows.com
# No resolution for db6sch102090908.wns.windows.com db6sch102090908.wns.windows.com
# No resolution for db6sch102090910.wns.windows.com db6sch102090910.wns.windows.com
# No resolution for db6sch102090911.wns.windows.com db6sch102090911.wns.windows.com
# No resolution for db6sch102091003.wns.windows.com db6sch102091003.wns.windows.com
# No resolution for db6sch102091007.wns.windows.com db6sch102091007.wns.windows.com
# No resolution for db6sch102091008.wns.windows.com db6sch102091008.wns.windows.com
# No resolution for db6sch102091009.wns.windows.com db6sch102091009.wns.windows.com
# No resolution for db6sch102091011.wns.windows.com db6sch102091011.wns.windows.com
# No resolution for db6sch102091103.wns.windows.com db6sch102091103.wns.windows.com
# No resolution for db6sch102091105.wns.windows.com db6sch102091105.wns.windows.com
# No resolution for db6sch102091204.wns.windows.com db6sch102091204.wns.windows.com
# No resolution for db6sch102091209.wns.windows.com db6sch102091209.wns.windows.com
# No resolution for db6sch102091305.wns.windows.com db6sch102091305.wns.windows.com
# No resolution for db6sch102091307.wns.windows.com db6sch102091307.wns.windows.com
# No resolution for db6sch102091308.wns.windows.com db6sch102091308.wns.windows.com
# No resolution for db6sch102091309.wns.windows.com db6sch102091309.wns.windows.com
# No resolution for db6sch102091314.wns.windows.com db6sch102091314.wns.windows.com
# No resolution for db6sch102091412.wns.windows.com db6sch102091412.wns.windows.com
# No resolution for db6sch102091503.wns.windows.com db6sch102091503.wns.windows.com
# No resolution for db6sch102091507.wns.windows.com db6sch102091507.wns.windows.com
# No resolution for db6sch102091602.wns.windows.com db6sch102091602.wns.windows.com
# No resolution for db6sch102091603.wns.windows.com db6sch102091603.wns.windows.com
# No resolution for db6sch102091606.wns.windows.com db6sch102091606.wns.windows.com
# No resolution for db6sch102091607.wns.windows.com db6sch102091607.wns.windows.com
13.107.246.38                  dev.virtualearth.net
13.107.213.38                  dev.virtualearth.net
2620:1ec:bdf::38               dev.virtualearth.net
2620:1ec:46::38                dev.virtualearth.net
65.52.100.7                    df.telemetry.microsoft.com
134.170.52.151                 diagnostics.support.microsoft.com
# No resolution for ec.atdmt.com ec.atdmt.com
23.196.48.166                  ecn.dev.virtualearth.net
2600:1407:7400:118a::1011      ecn.dev.virtualearth.net
2600:1407:7400:1184::1011      ecn.dev.virtualearth.net
20.50.80.210                   eu.vortex.data.microsoft.com
204.79.197.203                 flex.msn.com
23.43.15.204                   fs.microsoft.com
2600:1407:7400:1596::40dc      fs.microsoft.com
2600:1407:7400:158f::40dc      fs.microsoft.com
13.107.246.38                  g.msn.com
13.107.213.38                  g.msn.com
2620:1ec:46::38                g.msn.com
2620:1ec:bdf::38               g.msn.com
72.153.5.131                   geo-prod.do.dsp.mp.microsoft.com
23.198.66.151                  geover-prod.do.dsp.mp.microsoft.com
# No resolution for h1.msn.com h1.msn.com
# No resolution for h2.msn.com h2.msn.com
# No resolution for i-bl6p-cor001.api.p001.1drv.com i-bl6p-cor001.api.p001.1drv.com
# No resolution for i-by3p-cor001.api.p001.1drv.com i-by3p-cor001.api.p001.1drv.com
# No resolution for i-by3p-cor002.api.p001.1drv.com i-by3p-cor002.api.p001.1drv.com
# No resolution for i-ch1-cor001.api.p001.1drv.com i-ch1-cor001.api.p001.1drv.com
# No resolution for i-ch1-cor002.api.p001.1drv.com i-ch1-cor002.api.p001.1drv.com
# No resolution for i-sn2-cor001.api.p001.1drv.com i-sn2-cor001.api.p001.1drv.com
# No resolution for i-sn2-cor002.api.p001.1drv.com i-sn2-cor002.api.p001.1drv.com
13.107.213.38                  i1.services.social.microsoft.com
13.107.246.38                  i1.services.social.microsoft.com
2620:1ec:bdf::38               i1.services.social.microsoft.com
2620:1ec:46::38                i1.services.social.microsoft.com
172.176.48.21                  inference.location.live.net
# No resolution for lb1.www.ms.akadns.net lb1.www.ms.akadns.net
204.79.197.203                 live.rads.msn.com
68.67.179.164                  m.adnxs.com
68.67.160.75                   m.adnxs.com
68.67.160.137                  m.adnxs.com
68.67.179.155                  m.adnxs.com
68.67.160.184                  m.adnxs.com
68.67.181.248                  m.adnxs.com
68.67.160.26                   m.adnxs.com
68.67.160.132                  m.adnxs.com
68.67.179.89                   m.adnxs.com
68.67.161.182                  m.adnxs.com
68.67.160.114                  m.adnxs.com
68.67.181.102                  m.adnxs.com
52.182.143.215                 mobile.pipe.aria.microsoft.com
204.79.197.197                 msedge.net
# No resolution for msntest.serving-sys.com msntest.serving-sys.com
135.234.160.245                oca.telemetry.microsoft.com
13.248.169.48                  pre.footprintpredict.com
76.223.54.146                  pre.footprintpredict.com
204.79.197.203                 preview.msn.com
23.59.177.71                   redir.metaservices.microsoft.com
23.59.177.88                   redir.metaservices.microsoft.com
65.52.100.91                   reports.wes.df.telemetry.microsoft.com
104.254.151.69                 secure.adnxs.com
104.254.151.60                 secure.adnxs.com
104.254.150.241                secure.adnxs.com
104.254.151.36                 secure.adnxs.com
104.254.148.252                secure.adnxs.com
104.254.148.251                secure.adnxs.com
104.254.151.68                 secure.adnxs.com
23.205.89.163                  secure.flashtalking.com
23.205.89.142                  secure.flashtalking.com
65.52.100.92                   services.wes.df.telemetry.microsoft.com
128.85.219.1                   settings-sandbox.data.microsoft.com
20.106.86.13                   settings-win.data.microsoft.com
20.54.108.54                   settings-win-ppe.data.microsoft.com
20.106.86.13                   settings.data.microsoft.com
# No resolution for sn3301-c.1drv.com sn3301-c.1drv.com
# No resolution for sn3301-e.1drv.com sn3301-e.1drv.com
# No resolution for sn3301-g.1drv.com sn3301-g.1drv.com
48.211.71.201                  spynet2.microsoft.com
48.211.71.201                  spynetalt.microsoft.com
65.52.100.94                   sqm.df.telemetry.microsoft.com
65.55.252.93                   sqm.telemetry.microsoft.com
# No resolution for sqm.telemetry.microsoft.com.nsatc.net sqm.telemetry.microsoft.com.nsatc.net
13.107.213.38                  storecatalogrevocation.storequality.microsoft.com
13.107.246.38                  storecatalogrevocation.storequality.microsoft.com
2620:1ec:46::38                storecatalogrevocation.storequality.microsoft.com
2620:1ec:bdf::38               storecatalogrevocation.storequality.microsoft.com
207.68.166.254                 survey.watson.microsoft.com
23.59.177.82                   t0.ssl.ak.dynamic.tiles.virtualearth.net
23.59.177.78                   t0.ssl.ak.dynamic.tiles.virtualearth.net
2600:1407:7400:6e::17d1:5e52   t0.ssl.ak.dynamic.tiles.virtualearth.net
2600:1407:7400:6e::17d1:5e58   t0.ssl.ak.dynamic.tiles.virtualearth.net
23.59.177.78                   t0.ssl.ak.tiles.virtualearth.net
23.59.177.82                   t0.ssl.ak.tiles.virtualearth.net
2600:1407:7400:6e::17d1:5e58   t0.ssl.ak.tiles.virtualearth.net
2600:1407:7400:6e::17d1:5e52   t0.ssl.ak.tiles.virtualearth.net
20.118.138.130                 telecommand.telemetry.microsoft.com
65.52.100.9                    telemetry.microsoft.com
20.76.201.171                  telemetry.microsoft.com
13.91.96.185                   telemetry.urs.microsoft.com
40.77.226.13                   test.activity.windows.com
72.153.5.112                   tsfe.trafficshaping.dsp.mp.microsoft.com
13.89.179.8                    v10.vortex-win.data.microsoft.com
54.158.187.181                 version.hybrid.api.here.com
44.212.143.58                  version.hybrid.api.here.com
34.192.3.31                    version.hybrid.api.here.com
20.50.201.194                  vortex-sandbox.data.microsoft.com
52.168.117.169                 vortex-win.data.microsoft.com
104.208.16.95                  vortex.data.microsoft.com
135.233.45.220                 watson.microsoft.com
65.52.100.11                   watson.ppe.telemetry.microsoft.com
135.234.160.245                watson.telemetry.microsoft.com
# No resolution for web.vortex.data.microsoft.com web.vortex.data.microsoft.com
65.52.100.93                   wes.df.telemetry.microsoft.com
52.241.128.114                 win10.ipv6.microsoft.com
52.241.128.114                 win1710.ipv6.microsoft.com
204.79.197.197                 www.msedge.net
142.251.184.138                translate.google.com
142.251.184.100                translate.google.com
142.251.184.139                translate.google.com
142.251.184.102                translate.google.com
142.251.184.101                translate.google.com
142.251.184.113                translate.google.com
2607:f8b0:4001:c66::8a         translate.google.com
2607:f8b0:4001:c66::66         translate.google.com
2607:f8b0:4001:c66::64         translate.google.com
2607:f8b0:4001:c66::71         translate.google.com
108.177.121.95                 translate.googleapis.com
2607:f8b0:4001:c62::5f         translate.googleapis.com

# Last update at 2025-11-26 20:45:35 (Beijing Time)
# Hosts End 

